run_folder,algorithm,generation,evaluations,var_nm3,var_nm10,var_nm4,var_wnm2,var_wpm5,var_lpm5,var_wnm0,var_lpm0,var_capv,obj_Gain,obj_PM,pass_fail,run_id,is_real
nsga2_20260828_001842,nsga2,19,380,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,20,400,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,21,420,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,22,440,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,23,460,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,24,480,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,25,500,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,26,520,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,27,540,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,28,560,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,29,580,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
